PaHSC,CaHSC,Myofibroblast
Ngfr,Gm14964,Acta2
Igfbp3,Lrrn3,Myh11
Sparc,Gja1,Tagln
Gcgr,Sprn,Hhip
Ndufa4l2,Inmt,Aspn
Tnfrsf11b,Adm,Mustn1
Tagln,Robo2,
Rgs4,Vcam1,
Ttyh1,Loxl1,
Clca3a1,Tsc22d1,
Clec4g,Htra3,
Rasl11a,Sox4,
Il34,Sectm1a,
Tmem178,Adamts5,
Col14a1,Slc43a3,
Heyl,Apoc1,
Prss23,Gm13889,
Myl9,Qpct,
Tpm2,Lpar1,
Lama1,Podn,
Susd2,Gem,
Fam84a,Ackr4,
Gns,Bmyc,
Alpl,Fcna,
Bcr,Lum,
Pdgfrb,Ano1,
Klhl23,Adamtsl2,
Mest,Rspo3,
Ckb,Spon2,
Gpc6,,
Cyp4b1,,
Itgb3,,
Tbx2,,
Disp2,,
Serpina3g,,
Ccl2,,
Fhl2,,
Crip1,,
Rem1,,
Hilpda,,
Hsd11b1,,
Gja4,,
Myh11,,
Trib1,,
Matn2,,
Tpm1,,
Cxcl14,,
Phlda1,,
Procr,,
Cd248,,
Htra1,,
AW112010,,
